STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
1627,"IMPHAL AT KIYAMGI, MANIPUR",MANIPUR,18.2,6.2,7.0,286.0,9.5,5.1,108.0,413.0,
1370,"KSHIPRA AT TRIVENISANGAM (1 KM. D/S OF SANGAM), M.P.",MADHYA PRADESH,26.8,7.0,7.8,854.0,,1.9,,1600.0,
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,29.3,6.7,6.9,2531.0,0.5,0.22,308.0,465.0,2011.0
1718,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",RAJASTHAN,30.7,4.8,7.6,295.0,0.8,0.0,4.0,9.0,2013.0
1865,RIVER DHADAR AT KOTHADA,GUJARAT,,,0.0,506.0,,6.0,26.0,227.0,2013.0
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,    TAMILNADU.",NAN,29.0,7.1,214.0,6.8,2.3,0.585,0.585,350.0,2003.0
2867,MAHA RIVER AT CHANDEL,MANIPUR,18.99603006,8.852977458,7.149801503,62.0,0.5,2.47708422,170.0,280.0,
2858,"NAMBUL RIVER AT SAMUSANG (U.K. ROAD), DISTT. IMPHAL WEST",MANIPUR,18.8,7.7,7.2,350.0,2.5,3.0,,,
1246,DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT,18.20484561,9.446365792,7.1102422810000006,825.0,16.0,2.8924560539999997,,,
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,25.1,6.7,7.6,83.0,4.8,0.2,28.0,76.0,2014.0
1338,PERIYAR AT SEWAGE DISCHARGE POINT,KERALA,28.0,6.8,7.0,59.0,1.3,0.32,648.0,2267.0,2012.0
1339,"MEENACHIL AT KIDANGOOR, KERALA",NAN,26.0,6.7,6.2,43.0,0.7,0.4,1325.0,2100.0,2007.0
1546,KHANDEPAR AT OPA NAN PONDA,NAN,20.5,5.1,7.6,89.0,1.5,6.6,,,
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.7,7.0,6.9,224.0,1.2,0.3,3896.0,6742.0,
2288,PALLICKAL AT NELLIMUKAL,NAN,27.9,6.7,7.0,71.0,0.5,0.29,208.0,433.0,2010.0
1060,"GANGA AT RISHIKESH U/S, U.P",UTTARAKHAND,17.2,8.7,7.7,,1.1,0.0,,22.0,
,,,18.83684154,7.028946727,7.811842212,748.0,7.4,0.551158356,143.0,288.0,
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",NAN,28.25,7.675,6.875,103.3,1.025,3.367,18.0,96.0,2006.0
1186,"MALPRABHA AT D/S OF AIHOLE TOWN, KARNATAKA",KARNATAKA,28.5,6.9,8.0,1004.0,3.3,2.1,740.0,1390.0,
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,27.5,6.3,7.6,209.0,4.4,1.86,48.0,98.0,2013.0
1145,"GANGA AT NARORA (BULANDSAHAR), U.P.",UTTAR PRADESH,23.0,7.8,7.4,320.0,3.1,0.1,410.0,630.0,
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.7,7.0,6.9,224.0,1.2,0.3,3896.0,6742.0,2014.0
,,,21.0,5.9,7.775628498,1135.0,0.7,3.4585684469999998,170.0,277.0,
1816,GANGA AT KAHALGAON,BIHAR,23.4,7.8,7.9,265.0,2.7,0.0,2678.0,8511.0,
2285,NAN,R MAMOM AT MAMOM BRIDGE,26.0,6.4,6.7,122.0,0.7,0.34,343.0,1630.0,2009.0
1631,"MYNTDU RIVER JOWAI, MEGHALAYA",NAN,20.0,7.58,7.03,191.0,2.08,2.65,2350.0,2900.0,2010.0
2302,,,10.50903932,9.410847181,7.050903932000001,338.0,6.6,4.490960682,93.0,191.0,
2338,KADAMBAYAR AT MANCKAKADAVU,KERALA,27.0,1.8,6.6,82.0,2.0,0.39,399.0,1410.0,2012.0
2333,NAN,RIVER PERIYAR AT MUPPATHADAM,28.0,5.9,6.7,70.0,1.7,0.5,74.0,428.0,2009.0
1572,"PADIYATHADKA, KERALA",NAN,25.0,7.1,76.0,7.0,0.4,0.16699999999999998,0.16699999999999998,735.0,2003.0
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",NAN,28.0,5.5,6.6,1314.0,1.7,0.4,290.0,668.0,2007.0
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,30.0,6.1,7.0,59.0,1.8,0.58,89.0,282.0,2013.0
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,19.50013514,8.474898642000001,7.175006757,1069.0,26.5,2.21242905,7.0,55.0,
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,27.0,6.6,7.1,15158.0,1.1,0.26,126.0,810.0,2012.0
1628,"MINUTHONG(IMPHAL RIVER, MANIPUR",NAN,28.0,6.6,7.4,112.0,1.2,,,91.0,2008.0
1023,NAN,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",22.0,6.0,7.3,755.0,6.0,2.1,1000.0,4950.0,2009.0
2141,JANUNIA TALAB NEAR W/S,MADHYA PRADESH,22.5,4.4,7.7,464.0,4.4,12.0,5.0,260.0,
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,28.1,6.9,7.3,5551.0,3.4,1.7,,0.0,2014.0
NAN,"HUMP BRIDGE, MANIPUR",NAN,,5.5,6.58,121.3,11.57,,,315.0,2005.0
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,25.1,6.6,7.8,95.0,4.9,0.2,16.0,36.0,2014.0
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",NAN,27.2,7.2,6.8,70.0,1.8,0.09,78.0,148.0,2010.0
2427,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ORISSA,26.5,7.3,8.0,221.0,1.2,2.26,16103.0,5289.0,2013.0
1894,NAN,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,29.0,6.6,7.1,250.0,1.5,,74.0,544.0,2009.0
1925,KHUGA RIVER (CHURACHANDPUR),MANIPUR,19.45791263,8.506565529,7.172895631,116.0,2.3,2.23459587,82.0,132.0,
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,20.0,5.8,7.4,505.0,0.6,0.73,4.0,1517.0,2012.0
1884,KALA AMB D/S MARKANDA RIVER,NAN,27.0,4.8,7.8,599.0,534.5,3.75,2200.0,5000.0,2010.0
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28.0,6.8,6.9,1686.0,1.4,0.25,236.0,1223.0,2012.0
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,23.8,8.4,7.6,299.0,2.6,0.5,2146.0,6518.0,
1340,MANIMALA  AT KALLOOPARA,KERALA,10.19257114,9.031085363999999,7.019257114,252.0,4.9,4.807428863999999,,,
2052,TUIRIAL UPPER CATCHMENT,MIZORAM,18.00072653,9.599455101,7.100036327000001,238.0,4.0,2.99961857,3207.0,4719.0,
,,,18.7775699,6.962266139,7.822955642999999,1424.0,155.6,0.59916838,796.0,1460.0,
42,NAN,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",27.0,7.3,7.0,49.0,0.7,0.66,228.0,445.0,2009.0
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,28.0,7.1,8.1,212.0,0.9,0.56,524.0,992.0,2012.0
2303,R PULLUR AT PULLUR BR.,KERALA,10.52398168,9.428778011,7.052398168,118.0,2.8,4.476018324,,399.0,
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,27.0,5.8,7.3,107.0,0.9,0.88,232.0,343.0,2012.0
1156,"PAMBA AT CHENGANNUR, KERALA",NAN,26.0,7.1,6.1,34.0,0.6,0.5,1300.0,1975.0,2007.0
1563,"AMARAVILA, KERALA",NAN,27.0,6.4,7.0,112.0,1.4,0.7,3850.0,5725.0,2007.0
3126,U/S HARBORA RIVER,BIHAR,22.1,8.1,8.1,228.0,1.8,0.0,721.0,1257.0,
2706,"SURYA U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",NAN,21.0,6.0,7.8,2012.0,5.5,3.0,4573.0,7817.0,
1700,GHAGGAR AT D/S DHAKANSU NALLAH,PUNJAB,18.0,9.6,7.1,67.0,1.7,3.0,11633.0,18125.0,
3185,RIVER MANDOVI AT AMONA BRIDGE,GOA,29.6,6.4,6.7,414.0,1.0,0.2,6073.0,9423.0,
1330,"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",NAN,,4.325,7.045,547.0,2.075,0.25,25.0,109.0,2006.0
1573,"IRUMPANAM, KERALA",NAN,29.0,2.8,6.6,1239.0,2.3,0.6,263.0,645.0,2007.0
2190,KRISHNA RIVER AT WAI.,MAHARASHTRA,22.7,6.1,8.2,413.0,5.5,1.8,171.0,1257.0,
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",PUNJAB,23.3,5.7,7.3,1103.0,14.3,13.75,20250.0,52500.0,2011.0
1701,"D/S JHARMAL NADI, PUNJAB",PUNJAB,23.5,4.8,7.2,1021.0,20.3,4.0,22875.0,43700.0,2013.0
1865,DHADAR AT KOTHADA,GUJARAT,27.0,7.6,7.7,1291.0,10.0,0.34,23.0,77.0,2011.0
11,"WAINGANGA AT ASHTI, MAHARASHTRA",MAHARASHTRA,24.1,5.7,8.2,366.0,8.6,0.9,170.0,280.0,
1384,"MANIMALA AT THONDRA, KERALA",NAN,27.0,6.7,6.4,50.0,0.5,3.6,500.0,1175.0,2008.0
1404,NAN,"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",29.0,6.3,7.6,164.0,2.8,0.1,442.0,577.0,2009.0
1628,NAN,"MINUTHONG IMPHAL RIVER, MANIPUR",26.0,8.0,7.6,202.0,2.5,,,85.0,2009.0
3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,10.237210800000001,9.08465296,7.02372108,162.0,3.8,4.7627892,4573.0,7817.0,
1450,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,NAN,28.2,6.4,7.6,860.0,3.3,0.4,253.0,379.0,2010.0
1718,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",RAJASTHAN,18.69026173,9.082303705,7.134513086,153.0,1.7,2.637612594,145.0,302.0,
1455,"RUSHIKULYA AT GANJAM U/S, ORISSA",NAN,30.0,8.1,569.0,8.2,1.6,1.028,1.028,6050.0,2003.0
1700,"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,22.0,4.9,7.7,1385.0,27.5,7.7,42500.0,72000.0,2014.0
1701,"D/S JHARMAL NADI, PUNJAB",PUNJAB,24.3,5.0,7.3,1067.0,19.3,6.2,21467.0,39533.0,2014.0
2426,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ORISSA,11.13387361,8.913387361,7.170081041,39503.0,13.5,6.247260969,,70.0,
1927,"SEKMAI R, KAKCHING (THOUBAL)",MANIPUR,19.09612413,8.777906904,7.154806206,45.0,0.9,2.424534832,2.0,400.0,
,,,21.0,6.22298995,7.62298995,378.0,4.1,2.264484925,150.0,291.0,
1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",NAN,20.0,5.9,7.2,703.0,5.4,2.05,1950.0,21000.0,2008.0
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",NAN,31.0,7.3,178.0,6.7,1.5,0.138,0.138,190.0,2003.0
1457,"IMPHAL AT KOIRENGEI, MANIPUR",NAN,23.0,6.4,7.4,137.0,2.1,,,58.0,2007.0
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",NAN,26.0,7.6,8.1,233.0,1.35,1.43,2025.0,3200.0,2008.0
1892,NAN,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,28.0,6.4,7.0,307.0,1.0,,457.0,507.0,2009.0
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,10.59284053,9.511408636,7.059284053,440.0,3.4,4.40715947,696.0,1483.0,
2294,R KALLAI AT KALLAI BRIDGE,NAN,28.0,5.8,7.5,18291.0,0.8,0.25,435.0,1000.0,2008.0
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",NAN,22.0,6.6,7.2,131.0,4.5,0.83,285.0,737.0,2008.0
3380,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,10.12477072,8.949724863,7.012477072,113.0,1.2,4.875229281,22.0,51.0,
2523,"KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN",WEST BENGAL,27.3,6.7,7.4,166.0,3.0,0.3,169867.0,344500.0,
1404,GUMTI AT D/S SOUTH TRIPURA,tripura,28.0,6.2,7.7,176.0,3.5,0.2,532.0,592.0,2010.0
1169,"BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR HOLEHUNNUR,KARNATAKA",KARNATAKA,28.8,6.0,7.8,226.0,3.3,0.2,145.0,302.0,
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMILNADU,29.0,6.7,6.9,226.0,2.2,0.2,12.0,38.0,2014.0
,,,21.0,6.21133605,7.61133605,56.0,1.0,2.247004075,52.0,609.0,
1432,"PARVATI NEAR VILLAGE BATAODAPAR, M.P.",MADHYA PRADESH,25.5,7.2,7.5,599.0,2.1,0.0,,,
2236,"KAPILI RIVER AT DHARMTUL BRIDGE, NH-31, NAGAON",ASSAM,25.5,7.3,6.5,138.0,1.7,0.6,175.0,615.0,
1705,NAN,"GHAGGAR AT U/S SARDULGARH, PUNJAB",25.0,3.1,7.6,1000.0,10.0,3.7,6000.0,62500.0,2009.0
3367,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,18.57250106,9.170624209,7.1286250529999995,88.0,1.9,2.699436946,69.0,152.0,
28,"BHIMA AT TAKLI, MAHARASHTRA",MAHARASHTRA,29.1,6.2,8.2,1010.0,5.1,2.3,164.0,1529.0,
3370,"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,18.8,7.6,7.2,52.0,1.2,2.0,16.0,36.0,2013.0
1427,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",MEGHALAYA,23.1,7.2,7.2,124.0,6.9,4.5,348.0,552.0,2014.0
NAN,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",NAN,,6.5,7.33,135.8,4.4,0.33,13.0,208.0,2005.0
2856,"THOUBAL RIVER AT YAIRIPOK, THOUBAL",MANIPUR,30.0,9.3,7.6,193.0,2.3,,,41.0,2012.0
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",NAN,28.0,7.4,150.0,6.3,6.0,0.614,0.614,269.0,2003.0
1341,PAMBA AT THAKAZHY,KERALA,28.0,4.4,7.1,113.0,1.5,1.17,358.0,722.0,2012.0
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,29.9,5.7,6.9,111.0,1.0,0.14,939.0,3061.0,2013.0
2238,BEKI RIVER AT NH-37 CROSSING AT BARPETA ROAD,ASSAM,26.9,5.8,7.1,220.0,1.3,1.6,228.0,1133.0,
1342,"ACHENKOIL AT THUMPAMON, KERALA",NAN,26.0,6.6,6.3,46.0,0.6,1.07,624.0,1010.0,2008.0
2052,TUIRIAL UPPER CATCHMENT,MIZORAM,24.0,6.5,7.2,375.0,1.1,0.17,33.0,625.0,2012.0
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,29.0,5.6,6.9,432.0,4.5,1.72,58.0,173.0,2012.0
3303,"RANI TALAB, REWA",MADHYA PRADESH,28.0,6.9,7.4,,2.3,6.0,,212.0,
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",NAN,24.0,7.7,107.0,6.8,5.2,0.386,0.386,208.0,2003.0
1884,RIVER GHAGGAR AT D/S OF SURAJPUR,HARYANA,10.20950278,9.05140334,7.020950278,18865.0,3.6,4.7904972169999995,12.0,242.0,
2138,UPPER LAKE AT KARBALA CLUB,MADHYA PRADESH,26.8,8.2,8.2,277.0,2.2,2.0,4.0,88.0,
NAN,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",NAN,29.0,6.7,7.35,346.1,1.893,0.973,13.0,148.0,2005.0
1927,"SEKMAI RIVER, KAKCHING (THOUBAL DIST.)",NAN,23.0,6.9,7.2,233.0,1.5,,,119.0,2007.0
3384,"BUGI RIVER AT DALU, SOUTH GARO HILLS",MEGHALAYA,10.04416707,8.804416707,7.00662506,76.0,1.3,5.048583775,14.0,35.0,
1565,PAMBA DOWN,NAN,29.3,6.5,6.7,70.0,0.9,1.25,370.0,800.0,2010.0
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.0,7.0,6.8,503.0,1.6,0.66,965.0,2404.0,2012.0
,,,22.0,7.984423607999999,8.299096525,637.0,3.5,0.659932524,12.0,31.0,
1631,"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,20.6,6.5,7.1,99.0,2.7,3.56,1967.0,2722.0,2013.0
1404,GUMTI AT D/S SOUTH TRIPURA,TRIPURA,28.0,6.4,8.0,155.0,3.9,0.5,512.0,516.0,2012.0
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,27.4,5.9,7.4,268.0,6.4,0.4,37.0,68.0,2014.0
1288,"CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE), RAJASTHAN",RAJASTHAN,27.8,6.0,7.9,301.0,0.8,0.4,4.0,5.0,
2306,R UPPALA AT  UPPALA BR.,KERALA,30.8,6.3,7.0,18931.0,1.4,1.0,34.0,201.0,2013.0
3199,HAMISAR TALAV,GUJARAT,28.0,5.5,8.4,,1.0,0.0,,,
1865,DHADAR AT KOTHADA,GUJARAT,19.67526075,8.34355444,7.183763037,1097.0,26.5,2.120488108,,250.0,
2948,"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN,10.551397099999999,9.461676516,7.05513971,87.0,0.9,4.448602903,5.0,14.0,
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,18.809171600000003,8.993121298,7.14045858,55.0,0.9,2.575184909,103.0,157.0,
1543,KALNA AT CHANDELNAN PERNEM,GOA,27.0,7.3,6.9,61.0,0.7,0.09,1430.0,4388.0,2012.0
1633,SIMSANG RIVER WILLIAMNAGAR,MIZORAM,25.0,8.23,7.38,143.0,1.55,3.55,255.0,360.0,2010.0
3312,"KANHAN AT CHINDWARA BEFORE MIXING BOREGAON GROWTH CENTRE NALLA, JABALPUR",MADHYA PRADESH,23.7,7.4,7.7,403.0,2.1,0.3,39.0,127.0,
2621,GIRI AT D/S YASHWANT NAGAR,HIMACHAL PRADESH,17.4,7.9,7.3,242.0,0.7,1.5,5.0,17.0,
2855,"WANGJING AT HEIROK, THOUBAL",MANIPUR,30.0,8.1,7.3,199.0,2.2,,,56.0,2012.0
2709,"TANSA NEAR ROAD BDG, VILL DAKEWALI, WADA, THANE",NAN,22.0,6.5,8.2,50.0,1.0,0.05,3500.0,6300.0,
1626,NAMBUL AT HEIRANGOITHONG,MANIPUR,30.0,4.3,7.4,269.0,12.3,,,412.0,2012.0
2857,MANIPUR RIVER AT THOUBAL,MANIPUR,19.86076758,8.204424312999999,7.193038379,51.0,0.6,2.023097019,39.0,127.0,
1028,"KRISHNA AT TINTINI BRIDGE, KARNATAKA",KARNATAKA,29.5,7.1,8.2,718.0,1.9,0.2,538.0,1100.0,
1626,"HEIRANGOITHONG, MANIPUR",NAN,28.0,5.5,7.5,375.0,24.0,,,383.0,2008.0
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,19.21306595,8.690200538,7.1606532970000005,183.0,2.2,2.3631403769999997,1940.0,3052.0,
1700,NAN,"D/S DHAKANSU NALLAH, PUNJAB",21.0,4.8,7.4,825.0,19.0,4.6,9500.0,75000.0,2009.0
,,,20.35388177,6.958447292000001,7.912329062,380.0,0.5,0.594794874,7.0,67.0,
3330,"WAINGANGA AT CHHAPARA, NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,23.0,7.7,8.1,292.0,1.5,4.8,0.0,36.0,
2781,"KRISHNA AT D/S OF ALAMATTI DAM, KARNATAKA",KARNATAKA,29.2,6.2,8.3,513.0,1.4,0.5,678.0,1250.0,
NAN,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",NAN,29.0,5.3,7.37,102.2,2.552,0.20199999999999999,526.0,583.0,2005.0
2703,SAVITRI RIVER AT DADLI BRIDGE,MAHARASHTRA,18.41956642,9.285325188,7.120978321,374.0,21.0,2.779727631,,30.0,
